"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
15	9.375399947170000e-01	-8.725349486403867e-03	1.354289132592720e+00	3.211573467349659e+02	4.309939825020286e+01	3.113820909170880e+05	1.090466055385103e+05	2.797076534665417e+02	1.701033964812291e-01	7.126364486099185e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.347846888978521e+00	3.227038060393247e+02	4.288801291085848e+01	3.101101175302387e+05	1.083186513532423e+05	2.791684117213264e+02	1.540669026744358e-01	7.200624319824820e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.341557554979468e+00	3.241655625208739e+02	4.264534281275735e+01	3.088666396735203e+05	1.076096672860553e+05	2.786413537834255e+02	1.384483117896650e-01	7.272746848056300e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.335410603040058e+00	3.255454614758995e+02	4.236922069376715e+01	3.076493891131398e+05	1.069186529605229e+05	2.781264231569959e+02	1.232255859972098e-01	7.342785560905880e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.329386356913747e+00	3.268563300130519e+02	4.206726138341242e+01	3.064549070171215e+05	1.062428881074461e+05	2.776209543526804e+02	1.083387990255466e-01	7.411135939895078e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.323478304080678e+00	3.281035433868739e+02	4.173840057011373e+01	3.052820942608955e+05	1.055815460423975e+05	2.771244110007764e+02	9.376973939933260e-02	7.477912340878169e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	1.317682765108075e+00	3.292919481204840e+02	4.138437976670235e+01	3.041304346546078e+05	1.049340597751609e+05	2.766363222311585e+02	7.950591658649997e-02	7.543213306813166e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	1.311973692403026e+00	3.304263220569491e+02	4.100885644124317e+01	3.029945453586667e+05	1.042975889305405e+05	2.761548877761434e+02	6.548475843600229e-02	7.607293063192657e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	1.306346986804938e+00	3.315083327572097e+02	4.061119916923450e+01	3.018735658980439e+05	1.036717210769097e+05	2.756800588045152e+02	5.169717926997890e-02	7.670180555968205e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	1.300807104122450e+00	3.325431529806002e+02	4.019223321551670e+01	3.007688716842040e+05	1.030566643804532e+05	2.752116244215053e+02	3.814776489313926e-02	7.731942659984575e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	1.295330978793630e+00	3.335358661133935e+02	3.975422464428322e+01	2.996758273514886e+05	1.024498300480502e+05	2.747477106794821e+02	2.477948539111601e-02	7.792838613161198e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	1.289903074882387e+00	3.344893912952711e+02	3.929690521953894e+01	2.985910701134508e+05	1.018494632791700e+05	2.742870217580763e+02	1.155368332033491e-02	7.853026423142122e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	1.284530191069509e+00	3.354032735927202e+02	3.882011512676941e+01	2.975160706590113e+05	1.012563811151993e+05	2.738304106601428e+02	-1.511642275579147e-03	7.912423770019693e-01	
28	8.046399950980000e-01	-2.518763605296113e-02	1.279183608326320e+00	3.362817624092378e+02	3.832700942636419e+01	2.964451175856752e+05	1.006675011775241e+05	2.733757547097119e+02	-1.448439477097969e-02	7.971329311792079e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	1.273871630203950e+00	3.371262536359319e+02	3.781564079277580e+01	2.953801685573453e+05	1.000836638490644e+05	2.729236193619937e+02	-2.734606091906356e-02	8.029699222404285e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	1.268578338372316e+00	3.379417972394297e+02	3.728656721336009e+01	2.943178286277562e+05	9.950280222847212e+04	2.724718324653350e+02	-4.014217359997613e-02	8.087775817380081e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	1.263282095799844e+00	3.387277692938524e+02	3.673681832264904e+01	2.932533968682998e+05	9.892286737200104e+04	2.720194433002247e+02	-5.291787009620207e-02	8.145684137675918e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	1.257990901568125e+00	3.394898365303317e+02	3.616677852237324e+01	2.921893274209235e+05	9.834437516432020e+04	2.715661388429363e+02	-6.566178570723190e-02	8.203512023698820e-01	
33	7.385200262070000e-01	-3.241453277608040e-02	1.252676666781884e+00	3.402258865200397e+02	3.557727455910152e+01	2.911192717123660e+05	9.776461201259877e+04	2.711104670973319e+02	-7.843369962728741e-02	8.261417576239051e-01	
34	7.245299816130000e-01	-3.386376679305321e-02	1.247334431721094e+00	3.409361176955718e+02	3.496782189849080e+01	2.900423041563204e+05	9.718312986932322e+04	2.706522009386114e+02	-9.124348213573664e-02	8.319446359599398e-01	
