"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
11	9.645400047300000e-01	-5.038225493362627e-03	1.388187440506053e+00	3.157574739351110e+02	4.364731350198512e+01	3.174110292622565e+05	1.123254850935535e+05	2.818775819414431e+02	2.423355956247912e-01	6.822388548349192e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.380791127448280e+00	3.177485288331941e+02	4.358137470851928e+01	3.159615225920760e+05	1.114854020891095e+05	2.812680239843718e+02	2.238289558243789e-01	6.908655836654457e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.373670265340018e+00	3.196070383252234e+02	4.347393140536986e+01	3.145644829512053e+05	1.106782509669062e+05	2.806791387075261e+02	2.060477901489687e-01	6.991348101836330e-01	
14	9.449599981310000e-01	-7.724467125531491e-03	1.366801681981850e+00	3.213498319911907e+02	4.333733023177785e+01	3.132156753239501e+05	1.099008868514549e+05	2.801083386798467e+02	1.889228184469804e-01	7.070897564850714e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.360153292448803e+00	3.229880523774781e+02	4.318309800116037e+01	3.119089116109619e+05	1.091497272157522e+05	2.795536344440546e+02	1.723751193065151e-01	7.147669838391335e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.353742081673170e+00	3.245254313960369e+02	4.302132861082238e+01	3.106477259552351e+05	1.084262974462684e+05	2.790159584309806e+02	1.564382962855646e-01	7.221583488794167e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.347398454094553e+00	3.259755829121353e+02	4.285557888195007e+01	3.093969314872542e+05	1.077135291158517e+05	2.784867621697109e+02	1.407363398331849e-01	7.293886693811531e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.341172192247576e+00	3.273486591458638e+02	4.258549142832127e+01	3.081665323539278e+05	1.070165491011972e+05	2.779692450180407e+02	1.253821926702708e-01	7.364157169562955e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.335097568120921e+00	3.286493366766431e+02	4.228423793265947e+01	3.069647635396803e+05	1.063379175088791e+05	2.774632643458038e+02	1.104322527598408e-01	7.432472275007246e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.329157802840689e+00	3.298862892686897e+02	4.195277162630136e+01	3.057885076999544e+05	1.056755430636239e+05	2.769671668055584e+02	9.584045027545422e-02	7.499090148285219e-01	
21	8.841500282290000e-01	-1.566269158090452e-02	1.323331512672933e+00	3.310625103070704e+02	4.159699989639638e+01	3.046334752300028e+05	1.050272667714245e+05	2.764800213439448e+02	8.155922357831222e-02	7.564182288905005e-01	
22	8.738499879840000e-01	-1.694956337677533e-02	1.317597383290150e+00	3.321851356248241e+02	4.121901187601756e+01	3.034952346157830e+05	1.043904748739181e+05	2.759996268108263e+02	6.753099278132021e-02	7.628028492086066e-01	
23	8.631799817090000e-01	-1.826569132102762e-02	1.311954233081548e+00	3.332567591236414e+02	4.081772540787719e+01	3.023737769227691e+05	1.037650463470078e+05	2.755260997618179e+02	5.375309177963026e-02	7.690657006011067e-01	
24	8.521599769590000e-01	-1.960709133914372e-02	1.306392866179498e+00	3.342823868406447e+02	4.039560469890613e+01	3.012674971586933e+05	1.031498129868528e+05	2.750584491795665e+02	4.019978558327207e-02	7.752225890139286e-01	
25	8.407700061800000e-01	-2.097463226217677e-02	1.300883038195741e+00	3.352667667007925e+02	3.995483258243799e+01	3.001702049409963e+05	1.025414957801780e+05	2.745944419387406e+02	2.679883904731119e-02	7.813036024052579e-01	
26	8.290500044819999e-01	-2.236196298315981e-02	1.295431683983932e+00	3.362120886021524e+02	3.949378680275419e+01	2.990834859663669e+05	1.019407087536292e+05	2.741343635962904e+02	1.356377889458510e-02	7.873068688082859e-01	
27	8.170099854470000e-01	-2.376642068849115e-02	1.290037512543206e+00	3.371206027116524e+02	3.901453271478444e+01	2.980073294781733e+05	1.013472596242534e+05	2.736780811636267e+02	4.903692206262566e-04	7.932372149996206e-01	
28	8.046399950980000e-01	-2.518763605296113e-02	1.284676056552624e+00	3.379955146790942e+02	3.851916968167387e+01	2.969368509038017e+05	1.007585729727248e+05	2.732239234231540e+02	-1.247812527041705e-02	7.991184991001637e-01	
29	7.919700145720000e-01	-2.662062628442961e-02	1.279333346236521e+00	3.388376208130887e+02	3.800347437343936e+01	2.958685584681597e+05	1.001730831834818e+05	2.727706673207586e+02	-2.537619436480420e-02	8.049609091974986e-01	
30	7.790099978450000e-01	-2.806276676215449e-02	1.274001945895482e+00	3.396508971002469e+02	3.746785664532931e+01	2.948013006663060e+05	9.958984619513805e+04	2.723173521597886e+02	-3.822463529797052e-02	8.107793355867454e-01	
31	7.657799720760000e-01	-2.951033727360171e-02	1.268690417247012e+00	3.404360455034195e+02	3.691538915669322e+01	2.937374400527148e+05	9.900986011880884e+04	2.718648953036617e+02	-5.100146014396663e-02	8.165689273737752e-01	
32	7.522799968720000e-01	-3.096181144522562e-02	1.263392833204781e+00	3.411943668562525e+02	3.634471716870114e+01	2.926759515795226e+05	9.843254585133761e+04	2.714130054468492e+02	-6.371942627732527e-02	8.223360967172076e-01	
33	7.385200262070000e-01	-3.241453277608040e-02	1.258063365885012e+00	3.419285175856171e+02	3.575251993996527e+01	2.916064955202443e+05	9.785286837009236e+04	2.709576330538824e+02	-7.648945291643848e-02	8.281222851705320e-01	
34	7.245299816130000e-01	-3.386376679305321e-02	1.252688475912444e+00	3.426417107005995e+02	3.513689864416614e+01	2.905262714787454e+05	9.726917627473849e+04	2.704970301262792e+02	-8.934791964641506e-02	8.339473387381002e-01	
