"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
107, 1.394999958600000e-02, 1.994492353858276e-02, 9.906343397171765e+04, -4.982125295817805e-02, 8.017170977517564e-01
108, 1.789999939500000e-02, 2.241364555514381e-02, 9.423559622111898e+04, -1.561762842973684e-01, 8.514869407485438e-01
109, 2.232000045500000e-02, 2.482329437156798e-02, 9.017438001567422e+04, -2.456429977865993e-01, 8.941973320784723e-01
110, 2.723000012300000e-02, 2.718419978786347e-02, 8.674711294058624e+04, -3.211441053235203e-01, 9.304861919364501e-01
111, 3.260000050100000e-02, 2.948109446637338e-02, 8.378240576619159e+04, -3.864552323192787e-01, 9.607483511109169e-01
112, 3.844000026600000e-02, 3.171811260404538e-02, 8.111276836866277e+04, -4.452661086879477e-01, 9.895977824828449e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, 7.884746386725662e+04, -4.951697184788907e-01, 1.013488982009966e+00
114, 5.149000138000000e-02, 3.599337852580232e-02, 7.680784381561189e+04, -5.401016042875670e-01, 1.036106402658399e+00
115, 5.869000032500000e-02, 3.802635805630503e-02, 7.497375099439609e+04, -5.805058203271806e-01, 1.056011234852934e+00
116, 6.633000075800000e-02, 3.998513962421356e-02, 7.327492154262016e+04, -6.179302469374501e-01, 1.075195174299889e+00
117, 7.440000027400000e-02, 4.186607976498817e-02, 7.170551152461200e+04, -6.525036233166789e-01, 1.092961632232021e+00
118, 8.290000259900000e-02, 4.366791468532204e-02, 7.029213383795522e+04, -6.836396796474563e-01, 1.109264842499297e+00
119, 9.181000292300000e-02, 4.538527151431038e-02, 6.896732344678698e+04, -7.128246394472573e-01, 1.124613127896999e+00
120, 1.011300012470000e-01, 4.701715290498424e-02, 6.772607523505100e+04, -7.401687631064510e-01, 1.139076632399008e+00
121, 1.108499988910000e-01, 4.856066993422563e-02, 6.657327456580861e+04, -7.655644283377258e-01, 1.152975723379247e+00
122, 1.209499984980000e-01, 5.001187382363489e-02, 6.550716153616879e+04, -7.890504049872935e-01, 1.165457675857269e+00
123, 1.314399987460000e-01, 5.137133628795417e-02, 6.451817309733122e+04, -8.108373625944798e-01, 1.177727204392604e+00
124, 1.422899961470000e-01, 5.263443049277360e-02, 6.358632991835093e+04, -8.313654365736373e-01, 1.188830943214429e+00
125, 1.534900069240000e-01, 5.379977779145956e-02, 6.270710584612901e+04, -8.507343359828474e-01, 1.199713794639492e+00
126, 1.650400012730000e-01, 5.486709202536137e-02, 6.185700931627075e+04, -8.694615691139113e-01, 1.210358335557315e+00
127, 1.769299954180000e-01, 5.583513598033686e-02, 6.104939339562382e+04, -8.872529740839276e-01, 1.220118630299602e+00
128, 1.891400069000000e-01, 5.670228146432130e-02, 6.026110511917104e+04, -9.046185999971131e-01, 1.230564455062848e+00
129, 2.016600072380000e-01, 5.746811193675738e-02, 5.953394775149561e+04, -9.206375402811053e-01, 1.239297719792515e+00
130, 2.144699990750000e-01, 5.813197420944613e-02, 5.884837376092426e+04, -9.357404180121367e-01, 1.248685811861270e+00
131, 2.275699973110000e-01, 5.869456802648413e-02, 5.820758346450203e+04, -9.498567316868008e-01, 1.256367352596875e+00
132, 2.409400045870000e-01, 5.915585896897953e-02, 5.760846948605325e+04, -9.630549353641644e-01, 1.264708239562898e+00
133, 2.545700073240000e-01, 5.951657836311273e-02, 5.701872948446589e+04, -9.760466346695151e-01, 1.271796621613198e+00
134, 2.684499919410000e-01, 5.977765596976551e-02, 5.649075814211155e+04, -9.876775989982827e-01, 1.279347084292590e+00
135, 2.825500071050000e-01, 5.994005483718394e-02, 5.597027498889009e+04, -9.991436019859606e-01, 1.285735334751852e+00
136, 2.968699932100000e-01, 6.000550062925582e-02, 5.550625815881707e+04, -1.009365678007096e+00, 1.292223704973960e+00
137, 3.113999962810000e-01, 5.997565198183213e-02, 5.504287666763224e+04, -1.019573757806558e+00, 1.298386611338092e+00
138, 3.261100053790000e-01, 5.985254444802346e-02, 5.463441249239744e+04, -1.028572034551182e+00, 1.303764071826269e+00
139, 3.409900069240000e-01, 5.963847719943702e-02, 5.423474700635164e+04, -1.037376480244976e+00, 1.309501395158657e+00
140, 3.560400009160000e-01, 5.933561549045978e-02, 5.386675437424130e+04, -1.045483187624658e+00, 1.314147555168362e+00
141, 3.712300062180000e-01, 5.894684318665333e-02, 5.352417393852830e+04, -1.053030076078383e+00, 1.319137812845549e+00
142, 3.865399956700000e-01, 5.847520956655861e-02, 5.317795506301611e+04, -1.060657117677027e+00, 1.323520618095431e+00
143, 4.019699990750000e-01, 5.792324246601335e-02, 5.288661824876846e+04, -1.067075132865239e+00, 1.327832325821486e+00
